id,smi,target,prop
0,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2,1,1
1,O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,0,1
2,[N-]=[N+]=CC(=O)NCC(=O)NN,1,1
3,[N-]=[N+]=C1C=NC(=O)NC1=O,1,1
4,CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O,1,1
5,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,1,1
6,CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)OCC4(C)C3CCC21C,0,1
7,Nc1nc(N)nc(N)n1,0,1
8,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1,1
9,CC(C)CC(=O)Nc1snc2ccccc12,0,1
10,Cc1cccc([N+](=O)[O-])c1C,1,1
11,CCC[N+](=O)[O-],0,1
12,O=C(O)c1cc([N+](=O)[O-])cc2cccnc12,1,1
13,NC(=O)Nc1nc2ccccc2[nH]1,1,1
14,Nc1ccc2c(c1)oc1ccccc12,1,1
15,Cc1ccc2ccc3ccc(C)cc3c2c1,1,1
16,Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,1,1
17,NNc1nnc(NN)c2ccccc12,1,1
18,C=CC(=O)NCNC(=O)C=C,1,1
19,OCc1cc2c3c(cccc3c1)-c1ccccc1-2,0,1
20,Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C,0,1
21,Cc1nc(N)nc(N)n1,0,1
22,CCNc1nc(N)nc(Cl)n1,0,1
23,CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O,1,1
24,CC1CCC2C(C)CCC(C(C)C)C2C1,1,1
25,CCN=NNCC,1,1
26,O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,1,1
27,c1ccc(-c2ccc(CCC3CO3)cc2)cc1,1,1
28,Oc1cc2c3ccccc3ccc2c2ccccc12,1,1
29,Oc1ccc2ccccc2c1N=Nc1ccccc1,1,1
30,CCOC(=O)C(C)Br,1,1
31,COC1(OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C)CCCC1,0,1
32,CC(C=CC=C(C)C(=O)C12OC1C(O)(CCO)NC2=O)=CC(C)=CC1=CCOC1=O,1,1
33,CCOP(=S)(CC)Sc1ccccc1,0,1
34,Nc1ccc([N+](=O)[O-])c(N)c1,1,1
35,CCSCCSP(=O)(OC)OC,0,1
36,Brc1ccccc1,0,1
37,Cc1cc(N)c(S(=O)(=O)O)cc1Cl,0,1
38,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,0,1
39,CN(C)CCNC(=O)c1cccc2c1C(=O)c1ccccc1C2=O,1,1
40,Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O,0,1
41,COCCl,0,1
42,O=NN1CCOCC1,1,1
43,Nc1ccc(Nc2ccccc2)cc1,0,1
44,C=C(C)C(=O)OCCCCC,0,1
45,O=C(O)c1ccccc1,0,1
46,c1cc2c3c(c1)ccc1cccc(c13)C2,1,1
47,Fc1ccccc1-c1ccccc1,0,1
48,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,0,1
49,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0,1
50,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0,1
51,Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,1,1
52,Oc1ccc(Cc2ccccc2O)cc1,0,1
53,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1,1
54,CC(C)(c1ccc(O[PH](=O)O)cc1)c1ccc(O[PH](=O)O)cc1,0,1
55,CCCCCCCC(=O)Cl,1,1
56,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1,1
57,COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)C1C=COC1O4,1,1
58,O=[N+]([O-])c1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,1
59,O=C1C=CC2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1C2C1OC1C3=O,1,1
60,COC(N)=O,0,1
61,Cc1c2ccccc2c(CBr)c2ccccc12,1,1
62,C=CC(=O)OC,0,1
63,OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1,1,1
64,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,0,1
65,CCCCN(COC(C)=O)N=O,1,1
66,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,0,1
67,C1CSCCO1,0,1
68,Cc1ccccc1N,1,1
69,O=C1c2ccccc2-c2ccccc21,0,1
70,CS(=O)(=O)Nc1ccc(Nc2c3ccc(N=[N+]=[N-])cc3nc3ccc(N=[N+]=[N-])cc23)cc1,0,1
71,CC=C(Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1,1
72,Nc1ccccc1SCCSc1ccccc1N,1,1
73,ON=C(O)c1ccccc1O,1,1
74,Nc1c(O)cccc1[N+](=O)[O-],0,1
75,CC(C)(C)c1ccc(C=Cc2ccc(N)cc2)cc1,0,1
76,O=C(O)CC(C(=O)O)C(CC(=O)O)C(=O)O,1,1
77,c1cc2c3c(cccc3c1)CC2,0,1
78,CN(C)CCCNc1c2ccccc2nc2c(N(CCO)CCO)ccc([N+](=O)[O-])c12,1,1
79,CCCCOc1ccc(N=O)cc1,1,1
80,Cc1cc(S(=O)(=O)O)c(N)cc1Cl,1,1
81,COC(=O)C1=CCCN(C)C1,1,1
82,CNC(=O)ON,1,1
83,C=CC(=O)O,0,1
84,O=C(O)CC(=O)O,0,1
85,CCCCC=O,0,1
86,O=Nc1ccccc1-c1ccccc1,1,1
87,CSC(C)(C)C(=O)NC(CS)C(=O)O,0,1
88,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0,1
89,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0,1
90,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0,1
91,COc1ccc(O)c(C(C)(C)C)c1,0,1
